BLQ-st,Project Name,Address,BLQ - Ward,Legistar File ID,Agenda Number
2634-32,Janet Ojeabulu,758 S 15TH ST,South,20-0207,7R2-e 072220
2687-51,"RBJ Development, LLC",502-504 CLINTON AVE,SOUTH,21-0575,7R2-e 080421
891-19,"A.T.S Development Group, LLC ",27 CHESTNUT ST,Central,21-0652,7R2-e 091521
3554-12,278 Johnson Ave,278 JOHNSON AVE,SOUTH,22-0983,7R2-e 100522
4115-35,,51-53 SALEM ST,West,20-1671,7R2-e 100621
3044-75,Eric Donald Construction & Demolition,15-17 HOMESTEAD PARK,South,20-0061,7R2-e 102120
3078-25,"L.A Baxter Holdings, LLC",18 FABYAN PL,SOUTH,20-0858,7R2-e 110421
763-15,"Taino's Kitchen, LLC",710 SUMMER AVE,North,21-1010,7R2-e 111521
2800-15,"CDN Development, LLC",115 SHERMAN AVE,South,21-0299,7R2-e 120121/7R2-d 121521
3664-9,,116-118 SHEPHARD AVE,South,20-1179,7R2-e 121521
3041-39,Auc 1/24/19 - 33-35 Randolph Pl.,33-35 RANDOLPH PL,SOUTH,19-0266,7R2-e(AS) 022219
674-3,123-131 Riverside Urban Renewal,85 RIVERSIDE AVE,NORTH,17-1665,7R2-E(S) 110817
2776-9,"S.A.T. Urban Renewal Entity, LLC",142 ELIZABETH AVE,South,20-0595,7R2-f  072220
1848-23,"Christ Life Community Development, Inc",29 4TH ST,WEST,21-1369,7R2-f (s)  052422
4060-14,Alan Lawrence,20 SUNSET AVE,West,19-0671,7R2-f (s) 070219
2712-29,"Lilac Development Group, LLC",800 BERGEN ST,South,19-0763,7R2-f (s) 082019
3593-4,"Jay & R Associates, LLC",406 CHADWICK AVE,South,20-0177,7R2-f (s/as) 051121
1914-2,"T3 Management, LLC",329 7TH AVE W,CENTRAL,21-0449,7R2-f 012022
254-38,Alpha Alpha Lambda Community Development Inc.,294-296 HUNTERDON ST,Central,21-0042,7R2-f 020321
2647-15,Simone Neal,795 S 14TH ST,SOUTH,22-1826,7R2-f 041923
3013-43,"Quad T Holdings, LLC",921 S 17TH ST,South,19-1551,7R2-f 050620
334-32,Hamlett Management,601 15TH AVE,West,17-1712,7R2-F 071118
4115-43,"Benfica Development, LLC",35 SALEM ST,WEST,21-1588,7R2-f 080322
1915-73,Arabelly Garrido,243 5TH ST,Central,19-0855,7R2-f 080719
339-11,"Andre R. Consultants, LLC",573 S 19TH ST,WEST,21-1215,7R2-f 090822
4003-6.04,"Soul Town Property Investment Group, LLC",59-63 WHITNEY ST,West,21-0746,7R2-f 091521
3044-8,,37 HOMESTEAD PARK,SOUTH,21-0375,7R2-f 100621
1797-51.03,"Calloway Ventures, LLC",260 S 10TH ST,WEST,21-0242,7R2-f 102021
1852-24,"Tritop Realty, LLC",451-459 WEST MARKET ST,WEST,20-0181,7R2-f 102120
1829-35,"Ko-Hill Development, LLC",112-114 S 8TH ST,West,20-0908,7R2-f 110421
2656-15,"Barrco Enterprises, LLC",17-19 SEYMOUR AVE,SOUTH,20-0383,7R2-f 121521
3043-89,"Evans-Gordon Funeral Home, LLC",730-732 CLINTON AVE,South,19-1292,7R2-g (s) 031020
599-18,"TAG Developers, LLC",608 1/2--610 4TH ST,NORTH,21-1664,7R2-g (s) 052422
2672-34,Commercial Funding Group LLC,88-90 MILFORD AVE,South,19-0698,7R2-g (s) 070219
3032-42,"Prime RRAM Homes, LLC",76 VAN NESS PL,South,21-0716,7R2-g (s) 081921
3017-12,"Washington Bay Group 1, LLC",923 S 18TH ST,SOUTH,19-0788,7R2-g (s) 082019
4041-73,"IHomez, LLC",145 VERMONT AVE,WEST,21-1091,7R2-g 012022
3603-58,"Black Congress Enterprises, LLC",193-195 CUSTER AVE,South,19-1553,7R2-g 050620
326-47,DDA Pioneer,496- S 18TH ST,West,17-1713,7R2-G 071118
4131-5,"Family Manor, LLC",757-763 SANDFORD AVE,WEST,22-0713,7R2-g 080322
246-5,"Faro Development, LLC",64 14TH AVE,Central,19-0906,7R2-g 080719
1829-10,Saber Real Estate Development,37 S 7TH ST,WEST,18-1048,7R2-g 090618
4061-150,,39 SUNSET AVE,West,21-0761,7R2-g 091521
353-25,Adams Construction and D.C LLC,635 S 20TH ST,WEST,21-1193,7R2-g 092122
